PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
1,0,3,male,22.0,1,0,s
2,1,1,female,38.0,1,0,c
3,1,3,female,26.0,0,0,s
4,1,1,female,35.0,1,0,s
5,0,3,male,35.0,0,0,s
6,0,3,male,30.0,0,0,q
7,0,1,male,54.0,0,0,s
8,0,3,male,2.0,3,1,s
9,1,3,female,27.0,0,2,s
10,1,2,female,14.0,1,0,c
11,1,3,female,4.0,1,1,s
12,1,1,female,58.0,0,0,s
13,0,3,male,20.0,0,0,s
14,0,3,male,39.0,1,5,s
15,0,3,female,14.0,0,0,s
16,1,2,female,55.0,0,0,s
17,0,3,male,2.0,4,1,q
18,1,2,male,30.0,0,0,s
19,0,3,female,31.0,1,0,s
20,1,3,female,30.0,0,0,c
21,0,2,male,35.0,0,0,s
22,1,2,male,34.0,0,0,s
23,1,3,female,15.0,0,0,q
24,1,1,male,28.0,0,0,s
25,0,3,female,8.0,3,1,s
26,1,3,female,38.0,1,5,s
27,0,3,male,30.0,0,0,c
28,0,1,male,19.0,3,2,s
29,1,3,female,30.0,0,0,q
30,0,3,male,30.0,0,0,s
31,0,1,male,40.0,0,0,c
32,1,1,female,30.0,1,0,c
33,1,3,female,30.0,0,0,q
34,0,2,male,66.0,0,0,s
35,0,1,male,28.0,1,0,c
36,0,1,male,42.0,1,0,s
37,1,3,male,30.0,0,0,c
38,0,3,male,21.0,0,0,s
39,0,3,female,18.0,2,0,s
40,1,3,female,14.0,1,0,c
41,0,3,female,40.0,1,0,s
42,0,2,female,27.0,1,0,s
43,0,3,male,30.0,0,0,c
44,1,2,female,3.0,1,2,c
45,1,3,female,19.0,0,0,q
46,0,3,male,30.0,0,0,s
47,0,3,male,30.0,1,0,q
48,1,3,female,30.0,0,0,q
49,0,3,male,30.0,2,0,c
50,0,3,female,18.0,1,0,s
51,0,3,male,7.0,4,1,s
52,0,3,male,21.0,0,0,s
53,1,1,female,49.0,1,0,c
54,1,2,female,29.0,1,0,s
55,0,1,male,65.0,0,1,c
56,1,1,male,30.0,0,0,s
57,1,2,female,21.0,0,0,s
58,0,3,male,28.5,0,0,c
59,1,2,female,5.0,1,2,s
